Date,Time,Level,Source_IP,Dest_IP,Destination_Port,Proto,Action,Policy_ID,Service,Sent_Bytes,Received_Bytes
29/03/2022,16:53:49,notice,10.0.2.101,72.163.1.80,80,TCP,timeout,1,HTTP,104,0
29/03/2022,16:53:59,notice,10.0.2.101,213.57.24.194,80,TCP,close,1,HTTP,401,599
29/03/2022,16:54:07,notice,10.0.2.101,72.163.1.80,80,TCP,timeout,1,HTTP,104,0
29/03/2022,16:54:15,notice,10.0.2.100,213.57.24.139,80,TCP,close,1,HTTP,269,523
29/03/2022,16:54:18,notice,10.0.2.100,72.163.1.80,80,TCP,timeout,1,HTTP,52,0
29/03/2022,16:54:36,notice,10.0.2.101,72.163.1.80,80,TCP,timeout,1,HTTP,96,0
29/03/2022,16:54:39,notice,10.0.2.100,72.163.1.80,80,TCP,timeout,1,HTTP,104,0
29/03/2022,16:55:07,notice,10.0.2.100,72.163.1.80,80,TCP,timeout,1,HTTP,96,0
29/03/2022,16:55:14,notice,10.0.2.101,72.163.1.80,80,TCP,timeout,1,HTTP,104,0
29/03/2022,16:55:45,notice,10.0.2.100,72.163.1.80,80,TCP,timeout,1,HTTP,104,0
29/03/2022,16:55:58,notice,10.0.2.101,142.250.186.46,443,TCP,close,1,HTTPS,1132,7418
29/03/2022,16:56:18,notice,10.0.2.100,142.250.186.46,443,TCP,close,1,HTTPS,1132,7418
29/03/2022,16:56:36,notice,10.0.2.101,213.57.22.5,53,UDP,accept,1,DNS,59,217
29/03/2022,16:56:51,notice,10.0.2.101,213.57.22.5,53,UDP,accept,1,DNS,62,476
29/03/2022,16:56:55,warning,10.0.2.101,213.57.2.5,53,UDP,dns,1,0,0,0
29/03/2022,16:56:55,notice,10.0.2.101,213.57.2.5,53,UDP,accept,1,DNS,142,288
29/03/2022,16:56:55,notice,10.0.2.101,213.57.22.5,53,UDP,accept,1,DNS,59,261
29/03/2022,16:56:55,warning,10.0.2.101,213.57.22.5,53,UDP,dns,1,0,0,0
29/03/2022,16:56:55,notice,10.0.2.101,213.57.22.5,53,UDP,accept,1,DNS,71,144
29/03/2022,16:57:08,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,59,261
29/03/2022,16:57:13,warning,10.0.2.100,213.57.2.5,53,UDP,dns,1,0,0,0
29/03/2022,16:57:13,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,71,144
29/03/2022,16:57:13,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,62,476
29/03/2022,16:57:23,notice,10.0.2.101,213.57.22.5,53,UDP,accept,1,DNS,59,261
29/03/2022,16:57:26,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,59,261
29/03/2022,16:57:43,warning,10.0.2.100,213.57.22.5,53,UDP,dns,1,0,0,0
29/03/2022,16:57:43,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,71,144
29/03/2022,16:57:54,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,59,261
29/03/2022,16:58:01,notice,10.0.2.101,213.57.22.5,53,UDP,accept,1,DNS,59,261
29/03/2022,16:58:14,notice,10.0.2.100,35.82.243.29,443,TCP,close,1,HTTPS,1046,3858
29/03/2022,16:58:29,notice,10.0.2.100,65.9.103.10,443,TCP,close,1,HTTPS,1026,5403
29/03/2022,16:58:32,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,59,261
29/03/2022,16:58:33,notice,10.0.2.100,142.250.74.206,443,TCP,close,1,HTTPS,1368,7688
29/03/2022,16:58:34,notice,10.0.2.100,65.9.103.95,443,TCP,close,1,HTTPS,1145,4703
29/03/2022,16:58:37,notice,10.0.2.100,216.58.212.163,80,TCP,close,1,HTTP,1195,4074
29/03/2022,16:58:45,notice,10.0.2.100,142.250.185.238,443,TCP,close,1,HTTPS,1222,16711
29/03/2022,16:58:46,notice,10.0.2.100,34.237.201.127,80,TCP,close,1,HTTP,920,786
29/03/2022,16:58:50,notice,10.0.2.100,65.9.103.38,443,TCP,close,1,HTTPS,891,411
29/03/2022,16:58:52,notice,10.0.2.101,213.57.22.5,53,UDP,accept,1,DNS,65,353
29/03/2022,16:58:54,notice,10.0.2.100,142.250.185.238,443,TCP,close,1,HTTPS,698,12995
29/03/2022,16:58:56,notice,10.0.2.100,52.24.149.180,443,TCP,close,1,HTTPS,930,689
29/03/2022,16:59:13,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,65,353
29/03/2022,16:59:13,notice,10.0.2.100,216.58.213.3,443,TCP,close,1,HTTPS,1431,6642
29/03/2022,16:59:14,notice,10.0.2.100,142.250.185.100,443,TCP,timeout,1,HTTPS,52,0
29/03/2022,16:59:38,notice,10.0.2.100,208.90.58.19,443,TCP,close,1,HTTPS,733,7258
29/03/2022,16:59:40,notice,10.0.2.100,52.24.149.180,443,TCP,close,1,HTTPS,2367,7920
29/03/2022,16:59:51,notice,10.0.2.100,212.55.187.16,443,TCP,close,1,HTTPS,95911,4544959
29/03/2022,16:59:53,notice,10.0.2.101,65.9.103.8,443,TCP,close,1,HTTPS,977,4444
29/03/2022,16:59:59,notice,10.0.2.101,93.184.220.29,80,TCP,close,1,HTTP,172,132
29/03/2022,17:00:02,notice,10.0.2.101,208.90.58.19,443,TCP,close,1,HTTPS,745,8651
29/03/2022,17:00:02,notice,10.0.2.101,35.161.154.128,443,TCP,close,1,HTTPS,1086,4121
29/03/2022,17:00:05,notice,10.0.2.100,142.250.74.206,443,TCP,close,1,HTTPS,1633,8920
29/03/2022,17:00:09,notice,10.0.2.101,65.9.103.8,443,TCP,close,1,HTTPS,989,4816
29/03/2022,17:00:14,notice,10.0.2.100,142.250.185.129,443,TCP,timeout,1,HTTPS,52,0
29/03/2022,17:00:14,notice,10.0.2.100,173.194.183.167,443,TCP,close,1,HTTPS,1117,7364
29/03/2022,17:00:14,notice,10.0.2.101,65.9.103.115,443,TCP,close,1,HTTPS,168,88
29/03/2022,17:00:16,notice,10.0.2.100,213.57.25.77,443,TCP,close,1,HTTPS,3007,13737
29/03/2022,17:00:17,notice,10.0.2.100,216.58.212.163,80,TCP,close,1,HTTP,168,208
29/03/2022,17:00:18,notice,10.0.2.100,173.194.183.134,443,TCP,close,1,HTTPS,912,491
29/03/2022,17:00:20,notice,10.0.2.101,172.217.16.142,443,TCP,close,1,HTTPS,1228,7814
29/03/2022,17:00:21,notice,10.0.2.100,142.250.74.206,443,TCP,timeout,1,HTTPS,96,0
29/03/2022,17:00:26,notice,10.0.2.101,65.9.103.115,443,TCP,close,1,HTTPS,1480,13042
29/03/2022,17:00:26,notice,10.0.2.100,65.9.103.95,443,TCP,close,1,HTTPS,2171,6084
29/03/2022,17:00:26,notice,10.0.2.100,142.250.185.131,443,TCP,close,1,HTTPS,4955,99803
29/03/2022,17:00:27,notice,10.0.2.100,13.225.250.63,443,TCP,close,1,HTTPS,3068,10388
29/03/2022,17:00:27,notice,10.0.2.100,13.225.250.63,443,TCP,close,1,HTTPS,3117,11355
29/03/2022,17:00:27,notice,10.0.2.100,13.225.250.63,443,TCP,close,1,HTTPS,3156,8907
29/03/2022,17:00:28,notice,10.0.2.101,65.9.103.119,443,TCP,close,1,HTTPS,949,8362
29/03/2022,17:00:28,notice,10.0.2.100,13.225.250.63,443,TCP,close,1,HTTPS,2211,6998
29/03/2022,17:00:29,notice,10.0.2.100,13.225.250.63,443,TCP,close,1,HTTPS,3127,9717
29/03/2022,17:00:29,notice,10.0.2.100,142.250.200.14,443,TCP,close,1,HTTPS,805,16480
29/03/2022,17:00:29,notice,10.0.2.100,213.57.25.77,443,TCP,close,1,HTTPS,8221,232585
29/03/2022,17:00:33,notice,10.0.2.101,65.9.103.119,443,TCP,close,1,HTTPS,1009,8620
29/03/2022,17:00:33,notice,10.0.2.100,13.225.250.63,443,TCP,close,1,HTTPS,3334,6747
29/03/2022,17:00:35,notice,10.0.2.100,93.184.220.29,80,TCP,close,1,HTTP,1295,1871
29/03/2022,17:00:35,notice,10.0.2.100,65.9.103.7,443,TCP,close,1,HTTPS,2122,19821
29/03/2022,17:00:45,notice,10.0.2.101,54.210.224.200,443,TCP,close,1,HTTPS,936,4384
29/03/2022,17:00:47,notice,10.0.2.101,172.217.16.234,443,TCP,timeout,1,HTTPS,52,260
29/03/2022,17:00:49,notice,10.0.2.100,65.9.103.38,443,TCP,close,1,HTTPS,22975,926047
29/03/2022,17:00:52,notice,10.0.2.100,173.194.183.167,443,TCP,close,1,HTTPS,8834,112450
29/03/2022,17:00:52,notice,10.0.2.100,93.184.220.29,80,TCP,close,1,HTTP,2821,3612
29/03/2022,17:00:54,notice,10.0.2.101,142.250.185.238,443,TCP,close,1,HTTPS,1064,12720
29/03/2022,17:00:55,notice,10.0.2.101,35.161.154.128,443,TCP,close,1,HTTPS,1939,5050
29/03/2022,17:00:57,notice,10.0.2.100,34.107.221.82,80,TCP,close,1,HTTP,2058,2720
29/03/2022,17:00:58,notice,10.0.2.100,93.184.220.29,80,TCP,close,1,HTTP,1897,4412
29/03/2022,17:00:59,notice,10.0.2.100,216.58.212.163,80,TCP,close,1,HTTP,1170,1493
29/03/2022,17:01:01,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,70,475
29/03/2022,17:01:01,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,62,474
29/03/2022,17:01:01,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,88,401
29/03/2022,17:01:01,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,82,395
29/03/2022,17:01:01,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,88,413
29/03/2022,17:01:01,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,82,175
29/03/2022,17:01:03,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,63,359
29/03/2022,17:01:03,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,73,461
29/03/2022,17:01:03,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,64,328
29/03/2022,17:01:03,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,79,440
29/03/2022,17:01:03,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,64,0
29/03/2022,17:01:03,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,79,161
29/03/2022,17:01:04,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,64,132
29/03/2022,17:01:05,notice,10.0.2.101,93.184.221.240,80,TCP,close,1,HTTP,473,463
29/03/2022,17:01:07,notice,10.0.2.100,173.194.183.167,443,TCP,close,1,HTTPS,10928,149236
29/03/2022,17:01:08,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,61,515
29/03/2022,17:01:08,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,69,517
29/03/2022,17:01:08,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,69,429
29/03/2022,17:01:08,notice,10.0.2.100,172.217.169.35,443,TCP,close,1,HTTPS,9126,248141
29/03/2022,17:01:08,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,59,358
29/03/2022,17:01:08,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,67,331
29/03/2022,17:01:08,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,67,343
29/03/2022,17:01:13,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,66,473
29/03/2022,17:01:13,warning,10.0.2.100,213.57.22.5,53,UDP,dns,1,0,0,0
29/03/2022,17:01:13,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,72,153
29/03/2022,17:01:13,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,81,442
29/03/2022,17:01:13,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,81,166
29/03/2022,17:01:14,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,70,438
29/03/2022,17:01:14,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,74,403
29/03/2022,17:01:14,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,74,527
29/03/2022,17:01:16,notice,10.0.2.100,172.217.169.35,443,TCP,close,1,HTTPS,965,8431
29/03/2022,17:01:17,notice,10.0.2.100,142.250.187.225,443,TCP,close,1,HTTPS,1240,13087
29/03/2022,17:01:21,notice,10.0.2.100,13.225.250.50,443,TCP,close,1,HTTPS,1995,6058
29/03/2022,17:01:21,notice,10.0.2.100,213.57.25.76,443,TCP,close,1,HTTPS,5037,126036
29/03/2022,17:01:21,notice,10.0.2.100,213.57.25.76,443,TCP,close,1,HTTPS,4225,2612
29/03/2022,17:01:21,notice,10.0.2.100,65.9.103.8,443,TCP,close,1,HTTPS,45662,2042924
29/03/2022,17:01:21,notice,10.0.2.100,65.9.103.14,443,TCP,close,1,HTTPS,2025,13579
29/03/2022,17:01:21,notice,10.0.2.100,65.9.103.10,443,TCP,close,1,HTTPS,2848,12221
29/03/2022,17:01:21,notice,10.0.2.100,213.57.25.77,443,TCP,close,1,HTTPS,22469,480277
29/03/2022,17:01:21,notice,10.0.2.100,213.57.25.76,443,TCP,close,1,HTTPS,3025,2529
