Date,Time,Host_name,Priority,Event_ID,Severity,Description
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,4688,Low,A new process has been created.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5156,Low,The Windows Filtering Platform has allowed a connection.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,4656,Low,A handle to an object was requested.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.ERROR,5038,Critical,Code integrity determined that the image hash of a file is not valid. The file could be corrupt due to unauthorized modification or the invalid hash could indicate a potential disk device error. 
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,4656,Low,A handle to an object was requested.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5156,Low,The Windows Filtering Platform has allowed a connection.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5156,Low,The Windows Filtering Platform has allowed a connection.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,4656,Low,A handle to an object was requested.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,4688,Low,A new process has been created.
29/03/2022,16:53:36,10.0.2.101,SYSTEM.NOTICE,5156,Low,The Windows Filtering Platform has allowed a connection.
